Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
La Rioja;4165;366.0;2020-07-23;316798;8.787515006002401;1.3147178959463128;0.11553103239288127
Ceuta;164;4.0;2020-07-23;84777;2.4390243902439024;0.19344869481109264;0.00471826084905104
Andalucia;14214;1435.0;2020-07-23;8414240;10.095680315182214;0.16892791268135923;0.017054422027420184
Aragon;9467;915.0;2020-07-23;1319291;9.665152635470582;0.7175823984246084;0.06935543409300905
Asturias;2452;334.0;2020-07-23;1022800;13.621533442088092;0.23973406335549471;0.032655455612045366
Baleares;2331;224.0;2020-07-23;1149460;9.60960960960961;0.2027908757155534;0.0194874114801733
Castilla-Leon;19987;2796.0;2020-07-23;2399548;13.989092910391754;0.8329485386414441;0.11652194496630199
Canarias;2570;162.0;2020-07-23;2153389;6.303501945525292;0.11934675992122185;0.007523025333555619
Valencia;12325;1433.0;2020-07-23;5003769;11.626774847870182;0.2463143282593581;0.028638412364759443
Cantabria;2410;217.0;2020-07-23;581078;9.004149377593361;0.4147463851668795;0.03734438405859454
Castilla-La Mancha;18527;3033.0;2020-07-23;2032863;16.37070221838398;0.9113747458633464;0.14919844573884222
Total;272421;28432.0;2020-07-24;48525383;10.436787178668311;0.561398969277584;0.058592015646738944
Pais Vasco;15086;1566.0;2020-07-24;2207776;10.38048521808299;0.6833120751380575;0.0709311089530822
Navarra;6244;529.0;2020-07-24;2153389;8.472133247918002;0.2899615443377857;0.02456592840401804
Murcia;1988;148.0;2020-07-24;1493898;7.44466800804829;0.1330746811361954;0.009906968213358609
Melilla;129;2.0;2020-07-24;86487;1.550387596899225;0.14915536439002394;0.0023124862696127743
Madrid;73944;8450.0;2020-07-24;6663394;11.427566807313642;1.10970475406377;0.12681225213457287
La Rioja;4169;366.0;2020-07-24;316798;8.779083713120652;1.3159805301801148;0.11553103239288127
Extremadura;3302;519.0;2020-07-24;1067710;15.717746820109024;0.3092600050575531;0.04860870461080256
Ceuta;164;4.0;2020-07-24;84777;2.4390243902439024;0.19344869481109264;0.00471826084905104
Galicia;9584;619.0;2020-07-24;2699499;6.458681135225375;0.35502884053670697;0.022930180748353676
Castilla-Leon;20017;2796.0;2020-07-24;2399548;13.968127091971825;0.8341987741024559;0.11652194496630199
Cataluña;72919;5680.0;2020-07-24;7675217;7.789465022833555;0.950057828983858;0.07400442228538946
Aragon;9772;915.0;2020-07-24;1319291;9.363487515349979;0.7407008764556113;0.06935543409300905
Asturias;2454;334.0;2020-07-24;1022800;13.610431947840262;0.23992960500586624;0.032655455612045366
Baleares;2343;224.0;2020-07-24;1149460;9.560392658984208;0.20383484418770553;0.0194874114801733
Andalucia;14328;1436.0;2020-07-24;8414240;10.022333891680626;0.17028275875183024;0.017066306642073436
Canarias;2578;162.0;2020-07-24;2153389;6.283941039565555;0.11971826734510115;0.007523025333555619
