Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
Navarra;5523;528.0;2020-07-12;2175952;9.560021727322107;0.25381993720449714;0.02426524114502526
Murcia;1726;148.0;2020-07-12;1511251;8.574739281575898;0.11421001541107334;0.009793211054947192
Melilla;126;2.0;2020-07-12;87076;1.5873015873015872;0.14470118057788597;0.0022968441361569205
Madrid;72532;8441.0;2020-07-12;6779888;11.637622015110573;1.0698111827216026;0.124500581720524
La Rioja;4081;366.0;2020-07-12;319914;8.968390100465571;1.2756553323705746;0.1144057465443838
Extremadura;3106;519.0;2020-07-12;1063987;16.709594333547972;0.29192085993531874;0.048778791470196536
Cantabria;2369;216.0;2020-07-12;582905;9.117771211481637;0.4064127087604327;0.03705578095916144
Cataluña;63888;5675.0;2020-07-12;7780479;8.882732281492611;0.8211319637261407;0.07293895401555611
Castilla-Leon;19787;2792.0;2020-07-12;2394918;14.110274422600698;0.8262078284099915;0.11658019188965969
Castilla-La Mancha;18343;3029.0;2020-07-12;2045221;16.513111268603826;0.8968712916599233;0.1481013543279675
Canarias;2450;162.0;2020-07-12;2175952;6.612244897959184;0.11259439546460584;0.007445017169496386
Valencia;11740;1432.0;2020-07-12;5057353;12.197614991482112;0.23213724650029374;0.028315207579933614
Baleares;2249;224.0;2020-07-12;1171543;9.959982214317474;0.19196905277911266;0.019120083513793348
Asturias;2437;334.0;2020-07-12;1018784;13.705375461633155;0.2392067405848541;0.032784181926689075
Andalucia;13386;1435.0;2020-07-12;8464411;10.720155386224414;0.1581444946376068;0.016953335559910784
Ceuta;163;4.0;2020-07-12;84202;2.4539877300613497;0.193582100187644;0.004750480986199852
Aragon;6632;915.0;2020-07-12;1329391;13.796743063932448;0.498875048800541;0.06882850869307826
Total;253908;28403.0;2020-07-12;48965550;11.186335208028105;0.5185441601289069;0.058006087953673555
Total;260255;28420.0;2020-07-19;48965550;10.920059172734433;0.5315063345556212;0.058040806240305685
Pais Vasco;14177;1563.0;2020-07-19;2220504;11.02489948508147;0.6384586562329994;0.07038942510349001
Navarra;5708;529.0;2020-07-19;2175952;9.267694463910301;0.2623219629844776;0.02431119804113326
Murcia;1786;148.0;2020-07-19;1511251;8.286674132138858;0.11818023610902491;0.009793211054947192
Melilla;129;2.0;2020-07-19;87076;1.550387596899225;0.14814644678212135;0.0022968441361569205
Madrid;73026;8446.0;2020-07-19;6779888;11.565743707720538;1.0770974387777497;0.12457432925145666
