Comunidad Autónoma;Confirmados;Muertes;Día;Comunidad/Ciudad Autónoma
Castilla-La Mancha;134.0;3.0;2020-07-12;Castilla - La Mancha
Melilla;0.0;0.0;2020-07-12;Melilla
Canarias;14.0;0.0;2020-07-12;Canarias
Castilla-Leon;34.0;5.0;2020-07-12;Castilla y León
Galicia;180.0;0.0;2020-07-12;Galicia
Valencia;110.0;0.0;2020-07-12;Comunitat Valenciana
Extremadura;59.0;0.0;2020-07-12;Extremadura
Madrid;364.0;2.0;2020-07-12;Comunidad de Madrid
Murcia;60.0;0.0;2020-07-19;Región de Murcia
La Rioja;30.0;0.0;2020-07-19;La Rioja
Cantabria;12.0;1.0;2020-07-19;Cantabria
Galicia;63.0;0.0;2020-07-19;Galicia
Total;6347.0;17.0;2020-07-19;Total
Aragon;1007.0;0.0;2020-07-19;Aragón
Melilla;3.0;0.0;2020-07-19;Melilla
Andalucia;345.0;0.0;2020-07-19;Andalucía
Ceuta;1.0;0.0;2020-07-19;Ceuta
Castilla-La Mancha;88.0;5.0;2020-07-19;Castilla - La Mancha
Baleares;41.0;0.0;2020-07-19;Illes Balears
Madrid;494.0;5.0;2020-07-19;Comunidad de Madrid
Canarias;33.0;0.0;2020-07-19;Canarias
Pais Vasco;238.0;1.0;2020-07-19;País Vasco
Navarra;185.0;1.0;2020-07-19;Comunidad Foral de Navarra
Castilla-Leon;83.0;1.0;2020-07-19;Castilla y León
Extremadura;137.0;0.0;2020-07-19;Extremadura
Cataluña;3329.0;3.0;2020-07-19;Cataluña
Valencia;193.0;0.0;2020-07-19;Comunitat Valenciana
Asturias;5.0;0.0;2020-07-19;Principado de Asturias
Cataluña;5702.0;2.0;2020-07-26;Cataluña
Canarias;95.0;0.0;2020-07-26;Canarias
Castilla-Leon;147.0;3.0;2020-07-26;Castilla y León
Cantabria;38.0;0.0;2020-07-26;Cantabria
Extremadura;59.0;0.0;2020-07-26;Extremadura
Pais Vasco;909.0;3.0;2020-07-26;País Vasco
Navarra;536.0;0.0;2020-07-26;Comunidad Foral de Navarra
Andalucia;597.0;1.0;2020-07-26;Andalucía
Castilla-La Mancha;108.0;-2.0;2020-07-26;Castilla - La Mancha
Melilla;0.0;0.0;2020-07-26;Melilla
La Rioja;58.0;0.0;2020-07-26;La Rioja
Aragon;2133.0;0.0;2020-07-26;Aragón
Baleares;53.0;0.0;2020-07-26;Illes Balears
Valencia;509.0;1.0;2020-07-26;Comunitat Valenciana
Galicia;90.0;0.0;2020-07-26;Galicia
Madrid;918.0;4.0;2020-07-26;Comunidad de Madrid
Asturias;12.0;0.0;2020-07-26;Principado de Asturias
Ceuta;0.0;0.0;2020-07-26;Ceuta
Total;12166.0;12.0;2020-07-26;Total
Murcia;202.0;0.0;2020-07-26;Región de Murcia
Melilla;3.0;0.0;2020-08-02;Melilla
Castilla-La Mancha;204.0;0.0;2020-08-02;Castilla - La Mancha
Asturias;62.0;0.0;2020-08-02;Principado de Asturias
Galicia;133.0;0.0;2020-08-02;Galicia
Castilla-Leon;293.0;2.0;2020-08-02;Castilla y León
Madrid;2201.0;3.0;2020-08-02;Comunidad de Madrid
Canarias;53.0;0.0;2020-08-02;Canarias
Navarra;422.0;0.0;2020-08-02;Comunidad Foral de Navarra
Pais Vasco;1063.0;-1.0;2020-08-02;País Vasco
Cantabria;50.0;0.0;2020-08-02;Cantabria
Extremadura;71.0;1.0;2020-08-02;Extremadura
Cataluña;6405.0;6.0;2020-08-02;Cataluña
Andalucia;779.0;-1.0;2020-08-02;Andalucía
La Rioja;31.0;0.0;2020-08-02;La Rioja
Aragon;2913.0;0.0;2020-08-02;Aragón
Valencia;876.0;3.0;2020-08-02;Comunitat Valenciana
Baleares;202.0;0.0;2020-08-02;Illes Balears
Murcia;338.0;0.0;2020-08-02;Región de Murcia
Ceuta;2.0;0.0;2020-08-02;Ceuta
Total;16101.0;13.0;2020-08-02;Total
La Rioja;33.0;0.0;2020-08-09;La Rioja
Baleares;506.0;0.0;2020-08-09;Illes Balears
Madrid;4528.0;5.0;2020-08-09;Comunidad de Madrid
Ceuta;0.0;0.0;2020-08-09;Ceuta
Navarra;527.0;0.0;2020-08-09;Comunidad Foral de Navarra
Total;25840.0;58.0;2020-08-09;Total
Cantabria;184.0;0.0;2020-08-09;Cantabria
Asturias;119.0;0.0;2020-08-09;Principado de Asturias
Pais Vasco;1671.0;0.0;2020-08-09;País Vasco
Castilla-La Mancha;366.0;6.0;2020-08-09;Castilla - La Mancha
Canarias;167.0;0.0;2020-08-09;Canarias
Galicia;294.0;0.0;2020-08-09;Galicia
Cataluña;6646.0;18.0;2020-08-09;Cataluña
Valencia;1590.0;1.0;2020-08-09;Comunitat Valenciana
Castilla-Leon;820.0;2.0;2020-08-09;Castilla y León
Aragon;6185.0;22.0;2020-08-09;Aragón
Murcia;505.0;0.0;2020-08-09;Región de Murcia
Andalucia;1511.0;3.0;2020-08-09;Andalucía
Melilla;19.0;0.0;2020-08-09;Melilla
Extremadura;169.0;1.0;2020-08-09;Extremadura
Valencia;1869.0;5.0;2020-08-16;Comunitat Valenciana
Cataluña;6012.0;5.0;2020-08-16;Cataluña
Castilla-Leon;1540.0;4.0;2020-08-16;Castilla y León
Canarias;525.0;2.0;2020-08-16;Canarias
Andalucia;2319.0;7.0;2020-08-16;Andalucía
Castilla-La Mancha;766.0;-1.0;2020-08-16;Castilla - La Mancha
La Rioja;197.0;0.0;2020-08-16;La Rioja
Cantabria;277.0;3.0;2020-08-16;Cantabria
Baleares;1127.0;1.0;2020-08-16;Illes Balears
Ceuta;5.0;0.0;2020-08-16;Ceuta
Galicia;730.0;4.0;2020-08-16;Galicia
Extremadura;247.0;1.0;2020-08-16;Extremadura
Asturias;150.0;0.0;2020-08-16;Principado de Asturias
Total;28451.0;114.0;2020-08-16;Total
Pais Vasco;2659.0;1.0;2020-08-16;País Vasco
Aragon;1483.0;55.0;2020-08-16;Aragón
Navarra;706.0;3.0;2020-08-16;Comunidad Foral de Navarra
Melilla;37.0;0.0;2020-08-16;Melilla
Madrid;7294.0;23.0;2020-08-16;Comunidad de Madrid
Murcia;508.0;1.0;2020-08-16;Región de Murcia
Aragon;3254.0;104.0;2020-08-23;Aragón
La Rioja;428.0;1.0;2020-08-23;La Rioja
Castilla-La Mancha;1179.0;1.0;2020-08-23;Castilla - La Mancha
Baleares;1164.0;3.0;2020-08-23;Illes Balears
Murcia;728.0;3.0;2020-08-23;Región de Murcia
Valencia;2326.0;7.0;2020-08-23;Comunitat Valenciana
Cantabria;310.0;1.0;2020-08-23;Cantabria
Galicia;1211.0;3.0;2020-08-23;Galicia
Andalucia;3888.0;15.0;2020-08-23;Andalucía
Total;43241.0;221.0;2020-08-23;Total
Canarias;965.0;3.0;2020-08-23;Canarias
Ceuta;37.0;0.0;2020-08-23;Ceuta
Pais Vasco;3440.0;1.0;2020-08-23;País Vasco
Melilla;29.0;0.0;2020-08-23;Melilla
